#name	url	mypref	mygroup
1D10CRACY - YouTube	https://www.youtube.com/@1littlecoder	1	misc
1littlecoder - YouTube	https://www.youtube.com/@1littlecoder	1	misc
3Blue1Brown	https://www.youtube.com/@3blue1brown	1	misc
3D Maker Noob	https://www.youtube.com/@3DMakerNoob	1	misc
3D Printer Academy	https://www.youtube.com/@3DPrinterAcademy 	1	misc
3D Printing Nerd	https://www.youtube.com/@3DPrintingNerd	1	misc
3D Printing Professor	https://www.youtube.com/@3dpprofessor 	1	misc
3D Printing World	https://www.youtube.com/@3DPrintingWorlds	1	misc
3D Printy	https://www.youtube.com/@3DPrinty 	1	misc
3DParts4U | 3D Printing For Everyone	https://www.youtube.com/@3DParts4U	1	misc
3DprintedLife	https://www.youtube.com/@3DprintedLife	1	misc
61quick - YouTube	https://www.youtube.com/@61quick	1	misc
A Glimpse Inside - YouTube	https://www.youtube.com/@AGlimpseInside	1	misc
ADVChina	https://www.youtube.com/@ADVChina	1	misc
Andreas Spiess	https://www.youtube.com/@AndreasSpiess	1	misc
ArjanCodes	https://www.youtube.com/@ArjanCodes	1	misc
Battleship New Jersey - YouTube	https://www.youtube.com/@BattleshipNewJersey	1	misc
BAXEDM - YouTube	https://www.youtube.com/@baxedm9806	1	misc
Bay Piggies - YouTube	https://www.youtube.com/@baypiggies4690	1	misc
BcastLar - YouTube	https://www.youtube.com/@bcastlar3453	1	misc
Ben Eater - YouTube	https://www.youtube.com/@BenEater	1	misc
Benco Vintage Machine Works - YouTube	https://www.youtube.com/@BencoVintageMachineWorks	1	misc
Benjamin Marshall - YouTube	https://www.youtube.com/@BenjaminMarshallScienceMan	1	misc
Best of ChatGPT - YouTube	https://www.youtube.com/@Bestofchatgpt	1	misc
Bfausto - YouTube	https://www.youtube.com/@bfausto6020	1	misc
Big Joel - YouTube	https://www.youtube.com/@BigJoel	1	misc
bigclivedotcom - YouTube	https://www.youtube.com/@bigclivedotcom	1	misc
Billie Ruben - YouTube	https://www.youtube.com/@BillieRuben	1	misc
bitluni - YouTube	https://www.youtube.com/@bitlunislab	1	misc
Blondihacks - YouTube	https://www.youtube.com/@Blondihacks	1	misc
Blueglow Electronics - YouTube	https://www.youtube.com/@Blueglow	1	misc
Bobsdecline - Lineman blogger - YouTube	https://www.youtube.com/@Bobsdecline	1	misc
Bourbon Moth Woodworking - YouTube	https://www.youtube.com/@Bourbonmoth	1	misc
Brads Workbench - YouTube	https://www.youtube.com/@BradsWorkbench	1	misc
Brainiac75 - YouTube	https://www.youtube.com/@brainiac75	1	misc
Brandon Jacobson - YouTube	https://www.youtube.com/@BrandonJacobson	1	misc
Brauns CNC - YouTube	https://www.youtube.com/@leonbrauns	1	misc
Breaking Taps - YouTube	https://www.youtube.com/@BreakingTaps	1	misc
Breck Yunits - YouTube	https://www.youtube.com/@kcerb7	1	misc
Breck Yunits - YouTube	https://www.youtube.com/@kcerb7	1	misc
